customer_id,segment,region,signup_date
C100000,Value Shopper,South,2024-08-11
C100001,Occasional,West,2024-02-12
C100002,Mainstream,Northeast,2023-11-07
C100003,Occasional,West,2023-07-11
C100004,Mainstream,Northeast,2025-03-12
C100005,Occasional,West,2023-01-27
C100006,Mainstream,Midwest,2023-01-03
C100007,Value Shopper,Midwest,2023-05-29
C100008,Occasional,South,2025-02-17
C100009,Value Shopper,West,2025-02-24
C100010,Mainstream,Northeast,2024-05-28
C100011,Occasional,Midwest,2024-12-03
C100012,Occasional,West,2023-05-26
C100013,Mainstream,Midwest,2025-02-18
C100014,Mainstream,Northeast,2023-03-27
C100015,Mainstream,Midwest,2023-02-20
C100016,Value Shopper,Midwest,2023-03-02
C100017,Mainstream,West,2024-03-21
C100018,Premium,South,2024-09-11
C100019,Premium,South,2023-10-01
C100020,Premium,West,2025-02-23
C100021,Premium,Midwest,2023-11-27
C100022,Value Shopper,Northeast,2023-04-03
C100023,Mainstream,Northeast,2023-12-23
C100024,Value Shopper,Midwest,2024-06-18
C100025,Mainstream,Northeast,2024-10-24
C100026,Mainstream,West,2023-12-17
C100027,Occasional,South,2024-04-07
C100028,Mainstream,Northeast,2023-07-10
C100029,Value Shopper,South,2024-05-21
C100030,Value Shopper,South,2025-03-02
C100031,Premium,West,2023-01-08
C100032,Mainstream,West,2024-12-08
C100033,Value Shopper,South,2024-03-12
C100034,Value Shopper,South,2023-06-27
C100035,Premium,South,2025-02-04
C100036,Value Shopper,South,2024-01-06
C100037,Occasional,Northeast,2023-09-01
C100038,Premium,Northeast,2023-04-29
C100039,Value Shopper,South,2023-06-20
C100040,Value Shopper,Northeast,2024-10-24
C100041,Occasional,Northeast,2024-04-24
C100042,Mainstream,South,2024-12-31
C100043,Mainstream,Northeast,2023-06-10
C100044,Occasional,South,2023-03-09
C100045,Occasional,South,2022-12-03
C100046,Occasional,West,2024-01-26
C100047,Premium,Midwest,2025-03-12
C100048,Mainstream,Northeast,2024-07-01
C100049,Value Shopper,South,2023-08-13
C100050,Premium,West,2024-11-30
C100051,Mainstream,West,2024-09-12
C100052,Mainstream,Midwest,2022-12-10
C100053,Occasional,Midwest,2024-10-11
C100054,Value Shopper,West,2023-08-06
C100055,Mainstream,Northeast,2023-04-02
C100056,Value Shopper,South,2023-06-05
C100057,Mainstream,Midwest,2023-12-25
C100058,Value Shopper,Northeast,2023-11-19
C100059,Value Shopper,Midwest,2023-07-28
C100060,Value Shopper,Northeast,2023-04-21
C100061,Mainstream,South,2024-08-26
C100062,Premium,West,2025-03-05
C100063,Mainstream,Northeast,2024-09-08
C100064,Occasional,West,2023-08-02
C100065,Mainstream,Northeast,2023-06-21
C100066,Value Shopper,South,2023-05-29
C100067,Occasional,Northeast,2023-03-22
C100068,Value Shopper,West,2024-03-03
C100069,Occasional,South,2024-04-17
C100070,Value Shopper,South,2024-07-10
C100071,Occasional,West,2024-06-19
C100072,Value Shopper,South,2023-07-30
C100073,Occasional,West,2023-08-31
C100074,Mainstream,South,2024-06-20
C100075,Occasional,West,2023-09-16
C100076,Value Shopper,South,2023-05-25
C100077,Mainstream,Northeast,2023-10-07
C100078,Occasional,South,2023-07-14
C100079,Mainstream,Northeast,2023-02-10
C100080,Mainstream,South,2024-10-22
C100081,Premium,Midwest,2024-11-10
C100082,Mainstream,South,2023-05-31
C100083,Mainstream,Northeast,2023-01-21
C100084,Mainstream,Northeast,2024-08-07
C100085,Occasional,Midwest,2023-05-24
C100086,Value Shopper,West,2023-10-23
C100087,Value Shopper,Midwest,2023-01-20
C100088,Occasional,Midwest,2023-06-05
C100089,Occasional,South,2024-09-21
C100090,Mainstream,South,2024-10-01
C100091,Mainstream,Midwest,2023-05-20
C100092,Value Shopper,Midwest,2023-09-05
C100093,Value Shopper,Northeast,2023-03-20
C100094,Mainstream,West,2023-01-29
C100095,Mainstream,Northeast,2025-03-07
C100096,Mainstream,Midwest,2024-05-29
C100097,Value Shopper,Northeast,2024-02-24
C100098,Occasional,Northeast,2024-08-29
C100099,Occasional,South,2024-10-30
C100100,Premium,Northeast,2024-10-03
C100101,Mainstream,Northeast,2022-12-11
C100102,Mainstream,Midwest,2023-05-03
C100103,Occasional,Northeast,2024-05-28
C100104,Premium,Northeast,2023-10-08
C100105,Value Shopper,West,2025-02-27
C100106,Occasional,South,2024-06-06
C100107,Occasional,West,2025-02-05
C100108,Occasional,West,2023-05-15
C100109,Premium,South,2024-11-19
C100110,Mainstream,Northeast,2023-08-24
C100111,Mainstream,South,2025-03-05
C100112,Occasional,West,2023-04-09
C100113,Occasional,South,2024-02-02
C100114,Value Shopper,South,2024-09-21
C100115,Value Shopper,Northeast,2023-11-25
C100116,Mainstream,West,2023-12-25
C100117,Occasional,South,2025-03-02
C100118,Occasional,West,2023-11-19
C100119,Value Shopper,Northeast,2024-04-16
C100120,Mainstream,Northeast,2023-01-12
C100121,Mainstream,Northeast,2024-11-01
C100122,Occasional,South,2024-05-23
C100123,Occasional,Northeast,2023-11-01
C100124,Occasional,Northeast,2022-12-11
C100125,Mainstream,West,2024-04-05
C100126,Mainstream,Northeast,2022-12-08
C100127,Value Shopper,West,2022-11-29
C100128,Value Shopper,Midwest,2024-04-26
C100129,Occasional,West,2023-05-05
C100130,Occasional,South,2023-05-07
C100131,Occasional,West,2024-05-27
C100132,Occasional,West,2023-01-11
C100133,Mainstream,Northeast,2023-08-17
C100134,Premium,Northeast,2023-04-02
C100135,Occasional,Northeast,2024-03-27
C100136,Occasional,South,2024-06-03
C100137,Value Shopper,West,2024-07-23
C100138,Mainstream,Midwest,2023-06-29
C100139,Value Shopper,South,2023-02-10
C100140,Occasional,Northeast,2023-02-01
C100141,Mainstream,West,2023-11-20
C100142,Value Shopper,West,2025-01-27
C100143,Premium,Northeast,2023-05-29
C100144,Mainstream,Midwest,2023-07-01
C100145,Mainstream,Northeast,2023-02-20
C100146,Value Shopper,South,2024-04-17
C100147,Premium,South,2024-06-18
C100148,Mainstream,Northeast,2024-05-18
C100149,Premium,Midwest,2024-11-17
C100150,Mainstream,Midwest,2024-01-08
C100151,Occasional,South,2023-03-20
C100152,Mainstream,South,2023-07-28
C100153,Mainstream,Northeast,2024-06-04
C100154,Occasional,South,2024-04-23
C100155,Mainstream,South,2024-02-14
C100156,Value Shopper,Midwest,2024-06-21
C100157,Value Shopper,Northeast,2024-05-14
C100158,Premium,South,2024-12-04
C100159,Mainstream,West,2024-04-01
C100160,Premium,Northeast,2024-09-09
C100161,Value Shopper,Midwest,2023-06-24
C100162,Value Shopper,Northeast,2024-06-17
C100163,Value Shopper,South,2024-12-22
C100164,Mainstream,Northeast,2023-10-17
C100165,Mainstream,Midwest,2024-09-09
C100166,Mainstream,South,2024-07-26
C100167,Mainstream,South,2023-01-16
C100168,Occasional,Midwest,2024-03-28
C100169,Mainstream,Midwest,2023-03-17
C100170,Mainstream,South,2025-02-14
C100171,Premium,Northeast,2024-10-06
C100172,Mainstream,Northeast,2023-02-27
C100173,Mainstream,West,2023-03-10
C100174,Occasional,Northeast,2024-04-08
C100175,Occasional,South,2023-09-13
C100176,Value Shopper,West,2022-12-27
C100177,Occasional,Northeast,2024-02-23
C100178,Mainstream,Midwest,2023-10-19
C100179,Value Shopper,South,2023-02-20
C100180,Mainstream,West,2024-09-29
C100181,Occasional,West,2025-01-01
C100182,Mainstream,South,2024-08-22
C100183,Mainstream,Northeast,2024-10-16
C100184,Mainstream,South,2023-05-28
C100185,Value Shopper,Midwest,2023-07-06
C100186,Value Shopper,Midwest,2023-05-21
C100187,Value Shopper,Northeast,2024-08-29
C100188,Value Shopper,Northeast,2025-01-29
C100189,Value Shopper,South,2024-07-19
C100190,Value Shopper,Midwest,2024-12-04
C100191,Mainstream,Midwest,2024-05-15
C100192,Value Shopper,Midwest,2023-10-18
C100193,Mainstream,West,2023-11-19
C100194,Occasional,South,2023-01-30
C100195,Mainstream,Northeast,2022-12-24
C100196,Premium,Northeast,2024-07-01
C100197,Value Shopper,Northeast,2023-11-30
C100198,Value Shopper,West,2024-03-03
C100199,Value Shopper,South,2024-03-08
C100200,Value Shopper,South,2023-07-18
C100201,Value Shopper,South,2023-12-31
C100202,Value Shopper,Midwest,2023-12-27
